Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
Ti,Comparison,7478 - 9347,0.65,0.40,7345 - 9181,0.80,0.70
f_radius,Host,490 - 612,0.95,0.95,621 - 775,0.95,0.95
Ca,Comparison,7478 - 9347,0.65,0.40,7345 - 9181,0.80,0.65
f_vmag,Comparison,7478 - 9347,0.90,0.90,7345 - 9181,1.00,1.00
f_bv,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Fe,Host,490 - 612,0.95,0.90,621 - 775,0.90,0.85
f_radius,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
C,Comparison,5609 - 7477,0.80,0.70,5509 - 7344,0.65,0.45
f_bv,Host,368 - 489,0.95,0.90,0 - 155,0.90,0.80
f_mass,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
Na,Comparison,5609 - 7477,1.00,0.95,5509 - 7344,1.00,0.95
YII,Comparison,1870 - 3738,0.65,0.45,1837 - 3672,0.70,0.55
f_logg,Host,490 - 612,0.95,0.95,621 - 775,0.95,0.95
Mn,Comparison,5609 - 7477,0.95,0.90,5509 - 7344,0.95,0.90
Sc,Host,368 - 489,0.85,0.75,0 - 155,0.15,0.05
Cr,Comparison,5609 - 7477,0.90,0.85,5509 - 7344,0.90,0.85
f_dist,Comparison,7478 - 9347,0.85,0.75,7345 - 9181,0.90,0.85
Al,Comparison,5609 - 7477,0.85,0.80,5509 - 7344,0.70,0.45
V,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,1.00
TiII,Comparison,1870 - 3738,0.05,0.05,1837 - 3672,0.90,0.80
f_vmag,Host,368 - 489,0.85,0.80,0 - 155,0.85,0.75
YII,Host,123 - 244,0.80,0.70,0 - 155,0.05,0.05
ScII,Comparison,3739 - 5608,0.95,0.90,3673 - 5508,0.95,0.90
Ni,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
Y,Host,368 - 489,0.90,0.85,621 - 775,0.70,0.55
Co,Host,368 - 489,0.05,0.05,0 - 155,0.55,0.25
O,Host,490 - 612,0.85,0.80,621 - 775,0.95,0.90
Si,Comparison,7478 - 9347,0.05,0.05,7345 - 9181,0.70,0.45
f_mass,Host,368 - 489,0.95,0.90,621 - 775,0.95,0.95
ScII,Host,245 - 367,0.80,0.70,0 - 155,0.05,0.05
f_dist,Host,490 - 612,0.05,0.05,621 - 775,0.95,0.90
TiII,Host,368 - 489,0.90,0.85,0 - 155,0.45,0.10
Mg,Host,490 - 612,0.90,0.90,621 - 775,0.05,0.05
f_logg,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
V,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
Ca,Host,490 - 612,0.90,0.85,621 - 775,0.75,0.55
Ti,Host,490 - 612,0.95,0.90,621 - 775,0.70,0.45
Fe,Comparison,7478 - 9347,0.95,0.90,7345 - 9181,0.95,0.95
C,Host,490 - 612,0.85,0.80,621 - 775,0.05,0.05
f_teff,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
Na,Host,490 - 612,0.40,0.05,621 - 775,0.95,0.90
Al,Host,490 - 612,0.85,0.75,621 - 775,0.85,0.75
Cr,Host,490 - 612,0.90,0.85,621 - 775,0.60,0.05
Sc,Comparison,3739 - 5608,0.75,0.65,3673 - 5508,0.05,0.05
Mn,Host,490 - 612,0.85,0.75,621 - 775,0.85,0.75
O,Comparison,5609 - 7477,1.00,1.00,5509 - 7344,1.00,0.95
CrII,Host,245 - 367,0.80,0.65,0 - 155,0.70,0.45
f_teff,Host,490 - 612,0.90,0.85,621 - 775,0.95,0.90
Y,Comparison,3739 - 5608,0.80,0.70,3673 - 5508,0.85,0.75
CrII,Comparison,1870 - 3738,1.00,0.95,1837 - 3672,1.00,0.95
Si,Host,490 - 612,0.90,0.85,621 - 775,0.05,0.05
Co,Comparison,3739 - 5608,1.00,0.95,5509 - 7344,1.00,0.95
Ni,Comparison,7478 - 9347,0.90,0.85,5509 - 7344,0.85,0.75
Mg,Comparison,7478 - 9347,0.80,0.70,5509 - 7344,0.90,0.80
