Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
Al,Comparison,5609 - 7477,0.9,0.8,5509 - 7344,0.9,0.8,5705 - 7605,0.9,0.8
Al,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.5,0.2
C,Comparison,5609 - 7477,0.8,0.8,5509 - 7344,0.8,0.6,5705 - 7605,0.6,0.4
C,Host,490 - 612,0.8,0.8,621 - 775,0.2,0.2,363 - 453,0.4,0.2
Ca,Comparison,7478 - 9347,0.9,0.8,7345 - 9181,0.9,0.8,7606 - 9507,0.9,0.8
Ca,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.8,363 - 453,0.8,0.8
Co,Host,368 - 489,0.9,0.8,0 - 155,0.6,0.4,91 - 181,0.8,0.6
Co,Comparison,3739 - 5608,0.7,0.5,5509 - 7344,0.8,0.6,3803 - 5704,0.8,0.6
Cr,Comparison,5609 - 7477,0.2,0.2,5509 - 7344,0.2,0.2,5705 - 7605,0.4,0.2
Cr,Host,490 - 612,0.9,0.8,621 - 775,0.6,0.4,363 - 453,0.7,0.6
CrII,Host,245 - 367,0.8,0.7,0 - 155,0.2,0.2,91 - 181,0.7,0.4
CrII,Comparison,1870 - 3738,0.9,0.9,1837 - 3672,0.9,0.8,1902 - 3802,0.9,0.8
f_bv,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_bv,Host,368 - 489,0.9,0.9,0 - 155,0.8,0.8,91 - 181,0.8,0.8
f_dist,Comparison,7478 - 9347,1.0,0.9,7345 - 9181,1.0,0.9,7606 - 9507,1.0,0.9
f_dist,Host,490 - 612,0.8,0.7,621 - 775,0.9,0.9,363 - 453,0.9,0.8
f_logg,Host,490 - 612,1.0,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_logg,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_mass,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
f_mass,Host,368 - 489,0.9,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_radius,Host,490 - 612,1.0,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_radius,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_teff,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_teff,Host,490 - 612,1.0,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
f_vmag,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
f_vmag,Host,368 - 489,0.9,0.9,0 - 155,0.9,0.8,91 - 181,0.9,0.8
Fe,Host,490 - 612,0.9,0.9,621 - 775,0.9,0.8,363 - 453,0.8,0.8
Fe,Comparison,7478 - 9347,0.9,0.9,7345 - 9181,0.9,0.9,7606 - 9507,1.0,0.9
